### SECTION 1: GameHeap::Free callers (quarantine SAFE)
  UNCONDITIONAL_CALL @ 00c5f331 (in FUN_00c5f2e0 @ 00c5f2e0)
  UNCONDITIONAL_CALL @ 00c617b1 (in FUN_00c61760 @ 00c61760)
  UNCONDITIONAL_CALL @ 00c619e1 (in FUN_00c61990 @ 00c61990)
  UNCONDITIONAL_CALL @ 00c65621 (in FUN_00c655d0 @ 00c655d0)
  UNCONDITIONAL_CALL @ 00c66700 (in FUN_00c66670 @ 00c66670)
  UNCONDITIONAL_CALL @ 00c67f6d (in FUN_00c67f20 @ 00c67f20)
  UNCONDITIONAL_CALL @ 00c7e6f7 (in FUN_00c7e3b0 @ 00c7e3b0)
  UNCONDITIONAL_CALL @ 00c889e9 (in FUN_00c88990 @ 00c88990)
  UNCONDITIONAL_CALL @ 00c8781b (in FUN_00c877b0 @ 00c877b0)
  UNCONDITIONAL_CALL @ 00ca2107 (in FUN_00ca20e0 @ 00ca20e0)
  UNCONDITIONAL_CALL @ 00ca317c (in FUN_00ca2ad0 @ 00ca2ad0)
  UNCONDITIONAL_CALL @ 00ca32e2 (in FUN_00ca2ad0 @ 00ca2ad0)
  UNCONDITIONAL_CALL @ 00e6e561 (in FUN_00e6dfc0 @ 00e6dfc0)
  UNCONDITIONAL_CALL @ 00e6e5aa (in FUN_00e6dfc0 @ 00e6dfc0)
  UNCONDITIONAL_CALL @ 00a671a4 (in FUN_00a670c0 @ 00a670c0)
  UNCONDITIONAL_CALL @ 00a671b8 (in FUN_00a670c0 @ 00a670c0)
  UNCONDITIONAL_CALL @ 00a671cc (in FUN_00a670c0 @ 00a670c0)
  UNCONDITIONAL_CALL @ 00a671e2 (in FUN_00a670c0 @ 00a670c0)
  UNCONDITIONAL_CALL @ 00a84cc1 (in FUN_00a84ca0 @ 00a84ca0)
  UNCONDITIONAL_CALL @ 00e7fd10 (in FUN_00e7fcd0 @ 00e7fcd0)
  UNCONDITIONAL_CALL @ 00e8efe4 (in FUN_00e8ef10 @ 00e8ef10)
  UNCONDITIONAL_CALL @ 00e98ef1 (in FUN_00e98e90 @ 00e98e90)
  UNCONDITIONAL_CALL @ 00ebfc61 (in FUN_00ebf8e0 @ 00ebf8e0)
  UNCONDITIONAL_CALL @ 00ebfd8e (in FUN_00ebfd20 @ 00ebfd20)
  UNCONDITIONAL_CALL @ 00ec2622 (in FUN_00ec25e0 @ 00ec25e0)
  UNCONDITIONAL_CALL @ 00aabed6 (in FUN_00aabdb0 @ 00aabdb0)
  UNCONDITIONAL_CALL @ 009ff792 (in FUN_009ff690 @ 009ff690)
  UNCONDITIONAL_CALL @ 00a093bd (in FUN_00a09330 @ 00a09330)
  UNCONDITIONAL_CALL @ 00a093ed (in FUN_00a09330 @ 00a09330)
  UNCONDITIONAL_CALL @ 00aac37f (in FUN_00aac170 @ 00aac170)
  UNCONDITIONAL_CALL @ 00aac3c1 (in FUN_00aac170 @ 00aac170)
  UNCONDITIONAL_CALL @ 00a0974c (in FUN_00a09410 @ 00a09410)
  UNCONDITIONAL_CALL @ 00c3d66b (in FUN_00c3d5e0 @ 00c3d5e0)
  UNCONDITIONAL_CALL @ 00b02e9b (in FUN_00b02e80 @ 00b02e80)
  UNCONDITIONAL_CALL @ 00b02ebc (in FUN_00b02e80 @ 00b02e80)
